Language,,ENGLISH,RUSSIAN,TURKISH,SPANISH,INDONESIAN,GERMAN,FRENCH,ITALIAN,PORTUGUESE,BELARUSIAN,UKRAINIAN,AZERBAIJANIAN,JAPANESE,ARABIAN,ARMENIAN,GEORGIAN,HEBREW,ESTONIAN,KAZAKH,KYRGYZ,LITHUANIAN,LATVIAN,ROMANIAN,TAJICK,TURKMEN,UZBEK,HINDI
Key,,en,ru,tr,es,id,de,fr,it,pt,be,uk,az,ja,ar,hy,ka,he,et,kk,ky,lt,lv,ro,tg,tk,uz,hi
Level,,Level,Уровень,Seviye,Nivel,Tingkat,,,,,,,,,,,,,,,,,,,,,,
Free,,Free,Бесплатно,Özgür,Gratis,Bebas,,,,,,,,,,,,,,,,,,,,,,
Low_Health,,Are you feel okay?,Ты чувствуешь себя хорошо?,Kendini iyi hissediyor musun?,¿Te sientes bien?,Apakah kamu merasa baik-baik saja?,,,,,,,,,,,,,,,,,,,,,,
You_Have_Only,,You have only {0} health!,У вас всего {0} здоровья!,uzay,¡Solo tienes {0} de salud!,Kesehatan Anda hanya {0}!,,,,,,,,,,,,,,,,,,,,,,
Upgrade health,,Upgrade health,Улучшить здоровье,"Ne kadar uzun, o kadar yüksek!",Actualizar salud,Tingkatkan kesehatan,,,,,,,,,,,,,,,,,,,,,,
Heal ,,Heal ,Лечить ,İyileştirmek ,Sanar ,Sembuh ,,,,,,,,,,,,,,,,,,,,,,
Rank,,Rank,Классифицировать,tab,Rango,Pangkat,,,,,,,,,,,,,,,,,,,,,,
Sound,,Sound,Звук,Ses,Sonido,Suara,,,,,,,,,,,,,,,,,,,,,,
Music,,Music,Музыка,Müzik,Música,Musik,,,,,,,,,,,,,,,,,,,,,,
Credits,,Credits,Кредиты,R,Créditos,Kredit,,,,,,,,,,,,,,,,,,,,,,
Language,,Language,Язык,İyi şanslar!,Idioma,Bahasa,,,,,,,,,,,,,,,,,,,,,,
Settings,,Settings,Настройки,İyi şanslar!,Ajustes,Pengaturan,,,,,,,,,,,,,,,,,,,,,,
TICKETS,,TICKETS,БИЛЕТЫ,İlerlemeyi sıfırlama,ENTRADAS,TIKET,,,,,,,,,,,,,,,,,,,,,,
Wave 2,,Wave 2,Волна 2,Hassasiyeti,Ola 2,Gelombang 2,,,,,,,,,,,,,,,,,,,,,,
Wave 3,,Wave 3,Волна 3,Ana menü,Ola 3,Gelombang 3,,,,,,,,,,,,,,,,,,,,,,
Wave 4,,Wave 4,Волна 4,Merkeze git,Ola 4,Gelombang 4,,,,,,,,,,,,,,,,,,,,,,
X2 Health,,X2 Health,X2 Здоровье,X2 Sağlık,Salud X2,,,,,,,,,,,,,,,,,,,,,,,
