Language,,ENGLISH,RUSSIAN,TURKISH,SPANISH,INDONESIAN,GERMAN,FRENCH,ITALIAN,PORTUGUESE,BELARUSIAN,UKRAINIAN,AZERBAIJANIAN,JAPANESE,ARABIAN,ARMENIAN,GEORGIAN,HEBREW,ESTONIAN,KAZAKH,KYRGYZ,LITHUANIAN,LATVIAN,ROMANIAN,TAJICK,TURKMEN,UZBEK,HINDI
Key,,en,ru,tr,es,id,de,fr,it,pt,be,uk,az,ja,ar,hy,ka,he,et,kk,ky,lt,lv,ro,tg,tk,uz,hi
Zombie,,Zombie,Зомби,Zombi,Zombi,Zombi,,,,,,,,,,,,,,,,,,,,,,
Noob,,Noob,Нуб,Çaylak,Novato,Anak baru,,,,,,,,,,,,,,,,,,,,,,
No internet connection,,No internet connection,Нет подключения к Интернету,İnternet bağlantısı yok,Sin conexión a internet,Tidak ada koneksi internet,,,,,,,,,,,,,,,,,,,,,,
Upgrade weapons,,Upgrade weapons,Улучшить оружие,uzay,Actualizar armas,Tingkatkan senjata,,,,,,,,,,,,,,,,,,,,,,
Upgrade health,,Upgrade health,Улучшить здоровье,"Ne kadar uzun, o kadar yüksek!",Actualizar salud,Tingkatkan kesehatan,,,,,,,,,,,,,,,,,,,,,,
Start again,,Start again,Начать заново,Tekrar başla,empezar de nuevo,Mulai lagi,,,,,,,,,,,,,,,,,,,,,,
Wave 1,,Wave 1,Волна 1,tab,Ola 1,Gelombang 1,,,,,,,,,,,,,,,,,,,,,,
to spawn,,to spawn,порождать,yumurtlamak,engendrar,untuk bertelur,,,,,,,,,,,,,,,,,,,,,,
Ad is not available,,Ad is not available,Объявление недоступно,Reklam mevcut değil,El anuncio no está disponible,Iklan tidak tersedia,,,,,,,,,,,,,,,,,,,,,,
Pro,,Pro,Про,R,Pro,Pro,,,,,,,,,,,,,,,,,,,,,,
Zombie Titan,,Zombie Titan,Зомби Титан,İyi şanslar!,Titán Zombi,Zombi Titan,,,,,,,,,,,,,,,,,,,,,,
USE TICKETS TO SKIP ADS AND GET REWARDS,,USE TICKETS TO SKIP ADS AND GET REWARDS,"ИСПОЛЬЗУЙТЕ БИЛЕТЫ, ЧТОБЫ ПРОПУСТИТЬ РЕКЛАМУ И ПОЛУЧИТЬ НАГРАДЫ",REKLAMLARI ATLAMAK VE ÖDÜLLER KAZANMAK İÇİN BİLETLERİ KULLANIN,UTILIZA BOLETOS PARA SALTAR ANUNCIOS Y OBTENER RECOMPENSAS,,,,,,,,,,,,,,,,,,,,,,,
TICKETS,,TICKETS,БИЛЕТЫ,İlerlemeyi sıfırlama,ENTRADAS,TIKET,,,,,,,,,,,,,,,,,,,,,,
Wave 2,,Wave 2,Волна 2,Hassasiyeti,Ola 2,Gelombang 2,,,,,,,,,,,,,,,,,,,,,,
Wave 3,,Wave 3,Волна 3,Ana menü,Ola 3,Gelombang 3,,,,,,,,,,,,,,,,,,,,,,
Wave 4,,Wave 4,Волна 4,Merkeze git,Ola 4,Gelombang 4,,,,,,,,,,,,,,,,,,,,,,
X2 Health,,X2 Health,X2 Здоровье,X2 Sağlık,Salud X2,,,,,,,,,,,,,,,,,,,,,,,
X2 Damage,,X2 Damage,Х2 урона,Yükleniyor..,Daño X2,Kerusakan X2,,,,,,,,,,,,,,,,,,,,,,
You Win!,,You Win!,Вы выиграли!,Sen kazandın!,¡Tú ganas!,,,,,,,,,,,,,,,,,,,,,,,
Day,,Day,День,Başardın!,Día,Hari,,,,,,,,,,,,,,,,,,,,,,
UNLOCK,,UNLOCK,РАЗБЛОКИРОВАТЬ,Bir sonraki seviye artık mevcut,DESCUBRIR,MEMBUKA KUNCI,,,,,,,,,,,,,,,,,,,,,,
PLAY,,PLAY,ИГРАТЬ,Acele edin ve oynayın!,JUGAR,BERMAIN,,,,,,,,,,,,,,,,,,,,,,
coming soon,,coming soon,вскоре,Fiyat bırakmayı unutmayın,muy pronto,segera hadir,,,,,,,,,,,,,,,,,,,,,,
noob toilet,,noob toilet,нубский туалет,çaylak tuvalet,baño novato,toilet noob,,,,,,,,,,,,,,,,,,,,,,
FREE,,FREE,БЕСПЛАТНО,ÖZGÜR,GRATIS,BEBAS,,,,,,,,,,,,,,,,,,,,,,
CHARACTERS,,CHARACTERS,ПЕРСОНАЖИ,KARAKTERLER,PERSONAJES,KARAKTER,,,,,,,,,,,,,,,,,,,,,,
GET,,GET,ПОЛУЧАТЬ,Dil,CONSEGUIR,MENDAPATKAN,,,,,,,,,,,,,,,,,,,,,,
Random locked item,,Random locked item,Случайный заблокированный предмет,Rastgele kilitli öğe,Elemento bloqueado aleatoriamente,Barang terkunci secara acak,,,,,,,,,,,,,,,,,,,,,,
hide canvas,,hide canvas,скрыть холст,Başlangıç,ocultar lienzo,menyembunyikan kanvas,,,,,,,,,,,,,,,,,,,,,,
change post processing,,change post processing,изменить постобработку,Ayarlar,cambiar postprocesamiento,mengubah pemrosesan pasca,,,,,,,,,,,,,,,,,,,,,,
give stars and tickets,,give stars and tickets,подарить звезды и билеты,Çıktı,regala estrellas y boletos,berikan bintang dan tiket,,,,,,,,,,,,,,,,,,,,,,
